codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
49283;INCIDENTE;SALVADOR;BA;BRASIL;;23/07/2013;21:43:00;0
49284;INCIDENTE;ILHÉUS;BA;BRASIL;SBIL;23/07/2013;22:10:00;0
49285;INCIDENTE;CAMPINAS;SP;BRASIL;SBKP;24/07/2013;03:30:00;0
49118;ACIDENTE;PIUM;TO;BRASIL;;25/07/2013;18:50:00;0
49154;ACIDENTE;NOVA INDEPENDÊNCIA;SP;BRASIL;;25/07/2013;20:00:00;0
49261;INCIDENTE;SOROCABA;SP;BRASIL;;25/07/2013;08:40:00;0
49156;ACIDENTE;CASTRO;PR;BRASIL;SSQT;26/07/2013;18:25:00;0
49158;INCIDENTE GRAVE;SALVADOR;BA;BRASIL;SBSV;26/07/2013;22:00:00;0
49152;ACIDENTE;JUIZ DE FORA;MG;BRASIL;SBJF;27/07/2013;13:20:00;0
49695;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;28/07/2013;17:00:00;0
49295;INCIDENTE;MARINGÁ;PR;BRASIL;;30/07/2013;17:07:00;0
49696;INCIDENTE;MIGUELÓPOLIS;SP;BRASIL;;30/07/2013;13:30:00;0
49194;ACIDENTE;SÃO PAULO;SP;BRASIL;;31/07/2013;20:15:00;0
49697;INCIDENTE;MARABÁ;PA;BRASIL;SBMA;31/07/2013;11:20:00;0
49698;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;SBFS;31/07/2013;14:05:00;0
50532;INCIDENTE;GUARAPARI;ES;BRASIL;SNGA;02/08/2013;14:00:00;0
49233;ACIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;03/08/2013;15:24:00;1
49699;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;03/08/2013;20:36:00;0
49237;ACIDENTE;PARAGOMINAS;PA;BRASIL;;04/08/2013;22:30:00;2
49516;INCIDENTE;ALTAMIRA;PA;BRASIL;SBHT;05/08/2013;13:56:00;0
49476;ACIDENTE;HERCULÂNDIA;SP;BRASIL;;06/08/2013;21:40:00;0
49513;INCIDENTE GRAVE;BANANEIRAS;PB;BRASIL;;06/08/2013;09:45:00;0
49517;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;06/08/2013;07:30:00;0
49518;INCIDENTE;JATAIZINHO;PR;BRASIL;;06/08/2013;20:29:00;0
49519;INCIDENTE;SALVADOR;BA;BRASIL;;06/08/2013;04:59:00;0
49475;ACIDENTE;LONDRINA;PR;BRASIL;SBLO;07/08/2013;16:15:00;0
49511;INCIDENTE GRAVE;MACAÉ;RJ;BRASIL;SBME;07/08/2013;12:25:00;0
78818;ACIDENTE;PORTO BELO;SC;BRASIL;;07/08/2013;17:30:00;0
49479;ACIDENTE;JALES;SP;BRASIL;SDJL;08/08/2013;20:45:00;0
49520;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;BRASIL;SBSJ;10/08/2013;15:50:00;0
49521;INCIDENTE;TERESINA;PI;BRASIL;;11/08/2013;19:24:00;0
49522;INCIDENTE;CAMPO GRANDE;MS;BRASIL;SBCG;14/08/2013;01:18:00;0
49523;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;14/08/2013;13:30:00;0
49539;INCIDENTE;MANAUS;AM;BRASIL;SBEG;14/08/2013;09:25:00;0
49451;ACIDENTE;LUZIÂNIA;GO;BRASIL;SWUZ;15/08/2013;11:00:00;0
49524;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;16/08/2013;19:30:00;0
49478;ACIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;17/08/2013;12:15:00;0
49525;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;17/08/2013;06:30:00;0
49527;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;17/08/2013;11:30:00;0
49493;INCIDENTE GRAVE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;18/08/2013;19:04:00;0
49528;INCIDENTE;MANAUS;AM;BRASIL;SBEG;18/08/2013;19:25:00;0
49473;ACIDENTE;GOIÂNIA;GO;BRASIL;;19/08/2013;19:00:00;0
50152;INCIDENTE;ANDRADINA;SP;BRASIL;SDDN;19/08/2013;12:00:00;0
49529;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;20/08/2013;20:00:00;0
49454;ACIDENTE;SÃO PAULO;SP;BRASIL;SBMT;21/08/2013;13:40:00;5
49472;ACIDENTE;PORTO BELO;SC;BRASIL;SDEN;21/08/2013;14:45:00;0
